 ,-1,-2,-3,-4,-5,6,5,4,3,2,1,-6,-7,7,8,9,10,11,-8,-9,18,19,20,21,22,17,16,15,14,13,-10,-11,-12,-13,-14,-15,-16
-1,,16.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,16.5,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,2.5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,,,,2,,2.5,,,,,5,,,,,,,6.5,,,,,,,,,,,,,,,,,,,
6,,,,,2.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,2,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,1.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,1,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,0.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,5,,,,,1,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,
-6,,,,,,,,,,,3.5,,2,,,,,,,,,,,,,,,,,,,,,,,,
-7,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,2,,1.5,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,1.5,,2,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,1,,1.5,,,,,,,,,,,,,,,,,,,
11,,,,,6.5,,,,,,,,,,,,1.5,,27.5,,,,,,,,,,,,,,,,,,
-8,,,,,,,,,,,,,,,,,,27.5,,2.5,,,,,,,,,,,,,,,,,
-9,,,,,,,,,,,,,,,,,,,2.5,,1.5,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,1.5,,2,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,2,,2.3,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,2.3,,1.5,2,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,1.5,,1,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,2,1,,13,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,13,,2.5,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,2.5,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,1,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,35.5,,,,,,
-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.5,,1.5,,,,,
-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,2.5,,,,
-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,1.5,,,
-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,2,,
-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,4.5,
-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,2.5
-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,