,-1,-2,-3,-4,-5,3,-6,5,6,7,-7,8,9,10,11,-8,-9,-10,-11,12,13,14,15,16,-12,-13,-14,17,18,-15,19,20,21,22,23,-16,-17,-18,-19,-20
-1,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-2,2.5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-3,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-4,,,5,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5,,,,1,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,2.5,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,1,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-7,,,,,,,,,,2.5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,1,,1.5,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,,,,,,,,,1.5,,3.5,,,,,,,,,,,,,,,,,,,,,,,
-9,,,,,,,,,,,,,,,,3.5,,2.5,,,,,,,,,,,,,,,,,,,,,,
-10,,,,,,,,,,,,,,,,,2.5,,2,,,,,,,,,,,,,,,,,,,,,
-11,,,,,,,,,,,,,,,,,,2,,5.5,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,5.5,,2,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,1,,1.5,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,1.5,,1.5,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,1.5,,4.5,,,,,,,,,,,,,,,
-12,,,,,,,,,,,,,,,,,,,,,,,,4.5,,1.5,,,,,,,,,,,,,,
-13,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,0.5,,,,,,,,,,,,,
-14,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,4.5,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,1,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,10,,,,,,,,,,
-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,8.5,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.5,,1,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,
21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,6.5,,,,
-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,1.5,,,
-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,1,,
-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,
-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5
-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,