,1,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,-1,-2,-3,-4
1,,1,,,,,,,,,,,,,,,,,,
3,1,,2.5,,,,,,,,,,,,,,,,,
4,,2.5,,1.5,,,,,,,,,,,,,,,,
5,,,1.5,,0.5,,,,,,,,,,,,,,,
6,,,,0.5,,0.5,,,,,,,,,,,,,,
7,,,,,0.5,,0.5,,,,,,,,,,,,,
8,,,,,,0.5,,2,,,,,,,,,,,,
9,,,,,,,2,,2,,,,,,,,,,,
10,,,,,,,,2,,2,,,,,,,,,,
11,,,,,,,,,2,,4,,,,,,,,,
12,,,,,,,,,,4,,2,,,,,,,,
14,,,,,,,,,,,2,,1.5,,,,,,,
15,,,,,,,,,,,,1.5,,0.5,,,,,,
16,,,,,,,,,,,,,0.5,,0.5,,,,,
17,,,,,,,,,,,,,,0.5,,0.5,,,,
18,,,,,,,,,,,,,,,0.5,,5,,,
-1,,,,,,,,,,,,,,,,5,,2.5,,
-2,,,,,,,,,,,,,,,,,2.5,,31,
-3,,,,,,,,,,,,,,,,,,31,,27
-4,,,,,,,,,,,,,,,,,,,27,